as_of_date,sku,product_name,category,warehouse,supplier,forecast_horizon_days,point_forecast_units,forecast_low_units,forecast_high_units,available_inventory,inbound_quantity_90d,inventory_position,expected_lead_time_days_p75,reorder_date,recommended_quantity,estimated_purchase_cost,priority_or_risk_classification,reason_code,projected_stockout_date,container_slot,assumptions,human_approval_status
30/06/2026,BRA-0001,Category 2 Model 001,Category 2,Warehouse A,SUP-008,30,27.185,19.6845,34.6854,0,662,662,80,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0002,Category 3 Model 002,Category 3,Warehouse C,SUP-015,60,4.4187,3.2182,5.6191,28,0,28,45.5,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0002,Category 3 Model 002,Category 3,Warehouse C,SUP-015,90,6.6423,4.8459,8.4387,28,0,28,45.5,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0003,Category 4 Model 003,Category 4,Warehouse A,SUP-022,30,25.6164,18.5487,32.684,254,33,287,70.75,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0003,Category 4 Model 003,Category 4,Warehouse A,SUP-022,60,51.0998,37.2167,64.9829,254,33,287,70.75,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0003,Category 4 Model 003,Category 4,Warehouse A,SUP-022,90,76.5832,55.8718,97.2947,254,33,287,70.75,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0003,Category 4 Model 003,Category 4,Warehouse B,SUP-022,30,15.1269,10.9533,19.3005,208,0,208,70.75,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0003,Category 4 Model 003,Category 4,Warehouse B,SUP-022,60,30.2132,22.0047,38.4217,208,0,208,70.75,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0003,Category 4 Model 003,Category 4,Warehouse B,SUP-022,90,45.2937,33.0443,57.5431,208,0,208,70.75,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0003,Category 4 Model 003,Category 4,Warehouse C,SUP-022,30,9.9243,7.1861,12.6625,43,0,43,70.75,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0003,Category 4 Model 003,Category 4,Warehouse C,SUP-022,60,19.8223,14.4369,25.2078,43,0,43,70.75,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0003,Category 4 Model 003,Category 4,Warehouse C,SUP-022,90,29.6915,21.6616,37.7213,43,0,43,70.75,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0004,Category 4 Model 004,Category 4,Warehouse A,SUP-004,30,4.5729,3.3112,5.8346,27,0,27,94,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0004,Category 4 Model 004,Category 4,Warehouse A,SUP-004,60,9.1031,6.6299,11.5763,27,0,27,94,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0004,Category 4 Model 004,Category 4,Warehouse A,SUP-004,90,13.6506,9.9589,17.3423,27,0,27,94,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0004,Category 4 Model 004,Category 4,Warehouse B,SUP-004,30,4.5798,3.3162,5.8434,69,0,69,94,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0004,Category 4 Model 004,Category 4,Warehouse B,SUP-004,60,9.1764,6.6833,11.6695,69,0,69,94,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0004,Category 4 Model 004,Category 4,Warehouse B,SUP-004,90,13.7673,10.044,17.4905,69,0,69,94,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0004,Category 4 Model 004,Category 4,Warehouse C,SUP-004,30,0.9245,0.6694,1.1795,18,0,18,94,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0004,Category 4 Model 004,Category 4,Warehouse C,SUP-004,60,1.8547,1.3508,2.3586,18,0,18,94,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0004,Category 4 Model 004,Category 4,Warehouse C,SUP-004,90,2.7907,2.0359,3.5454,18,0,18,94,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0005,Category 1 Model 005,Category 1,Warehouse A,SUP-011,30,30.5953,22.1539,39.0367,152,0,152,55.75,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0005,Category 1 Model 005,Category 1,Warehouse A,SUP-011,60,61.1685,44.5498,77.7871,152,0,152,55.75,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0005,Category 1 Model 005,Category 1,Warehouse A,SUP-011,90,91.6498,66.8637,116.436,152,0,152,55.75,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0005,Category 1 Model 005,Category 1,Warehouse B,SUP-011,30,12.3019,8.9078,15.6961,362,0,362,55.75,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0005,Category 1 Model 005,Category 1,Warehouse B,SUP-011,60,24.5973,17.9145,31.28,362,0,362,55.75,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0005,Category 1 Model 005,Category 1,Warehouse B,SUP-011,90,36.8753,26.9026,46.848,362,0,362,55.75,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0005,Category 1 Model 005,Category 1,Warehouse C,SUP-011,30,8.8833,6.4323,11.3342,472,31,503,55.75,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0005,Category 1 Model 005,Category 1,Warehouse C,SUP-011,60,17.7298,12.9129,22.5468,472,31,503,55.75,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0005,Category 1 Model 005,Category 1,Warehouse C,SUP-011,90,26.6048,19.4097,33.7999,472,31,503,55.75,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0006,Category 1 Model 006,Category 1,Warehouse A,SUP-018,30,16.399,11.8745,20.9236,746,55,801,85.75,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0006,Category 1 Model 006,Category 1,Warehouse A,SUP-018,60,32.7586,23.8586,41.6587,746,55,801,85.75,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0006,Category 1 Model 006,Category 1,Warehouse A,SUP-018,90,49.1759,35.8766,62.4752,746,55,801,85.75,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0006,Category 1 Model 006,Category 1,Warehouse B,SUP-018,30,6.2215,4.505,7.9381,835,96,931,85.75,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0006,Category 1 Model 006,Category 1,Warehouse B,SUP-018,60,12.4396,9.0599,15.8192,835,96,931,85.75,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0006,Category 1 Model 006,Category 1,Warehouse B,SUP-018,90,18.6173,13.5823,23.6522,835,96,931,85.75,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0006,Category 1 Model 006,Category 1,Warehouse C,SUP-018,30,3.4416,2.492,4.3911,61,0,61,85.75,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0006,Category 1 Model 006,Category 1,Warehouse C,SUP-018,60,6.9055,5.0294,8.7816,61,0,61,85.75,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0006,Category 1 Model 006,Category 1,Warehouse C,SUP-018,90,10.3637,7.5609,13.1665,61,0,61,85.75,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0007,Category 3 Model 007,Category 3,Warehouse A,SUP-025,30,13.7805,9.9784,17.5826,101,26,127,35,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0007,Category 3 Model 007,Category 3,Warehouse A,SUP-025,60,27.5329,20.0526,35.0132,101,26,127,35,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0007,Category 3 Model 007,Category 3,Warehouse A,SUP-025,90,41.291,30.1241,52.4579,101,26,127,35,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0007,Category 3 Model 007,Category 3,Warehouse B,SUP-025,30,7.7862,5.638,9.9345,246,20,266,35,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0007,Category 3 Model 007,Category 3,Warehouse B,SUP-025,60,15.5819,11.3485,19.8153,246,20,266,35,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0007,Category 3 Model 007,Category 3,Warehouse B,SUP-025,90,23.3429,17.03,29.6559,246,20,266,35,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0007,Category 3 Model 007,Category 3,Warehouse C,SUP-025,30,5.2079,3.771,6.6447,51,0,51,35,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0007,Category 3 Model 007,Category 3,Warehouse C,SUP-025,60,10.3966,7.572,13.2212,51,0,51,35,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0007,Category 3 Model 007,Category 3,Warehouse C,SUP-025,90,15.5853,11.3703,19.8002,51,0,51,35,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0008,Category 1 Model 008,Category 1,Warehouse A,SUP-007,30,14.8914,10.7828,18.9999,224,48,272,75,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0008,Category 1 Model 008,Category 1,Warehouse A,SUP-007,60,29.7698,21.6817,37.8578,224,48,272,75,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0008,Category 1 Model 008,Category 1,Warehouse A,SUP-007,90,44.579,32.5229,56.6351,224,48,272,75,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0008,Category 1 Model 008,Category 1,Warehouse B,SUP-007,30,7.6261,5.522,9.7301,528,49,577,75,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0008,Category 1 Model 008,Category 1,Warehouse B,SUP-007,60,15.3361,11.1695,19.5027,528,49,577,75,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0008,Category 1 Model 008,Category 1,Warehouse B,SUP-007,90,22.977,16.763,29.1909,528,49,577,75,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0008,Category 1 Model 008,Category 1,Warehouse C,SUP-007,30,6.9144,5.0067,8.8221,33,0,33,75,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0008,Category 1 Model 008,Category 1,Warehouse C,SUP-007,60,13.8037,10.0534,17.5539,33,0,33,75,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0008,Category 1 Model 008,Category 1,Warehouse C,SUP-007,90,20.7218,15.1177,26.3259,33,0,33,75,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0009,Category 4 Model 009,Category 4,Warehouse A,SUP-014,30,16.4584,11.9174,20.9993,1313,0,1313,102,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0009,Category 4 Model 009,Category 4,Warehouse A,SUP-014,60,32.9339,23.9862,41.8815,1313,0,1313,102,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0009,Category 4 Model 009,Category 4,Warehouse A,SUP-014,90,49.3516,36.0048,62.6985,1313,0,1313,102,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0009,Category 4 Model 009,Category 4,Warehouse B,SUP-014,30,13.1558,9.5261,16.7856,1662,88,1750,102,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0009,Category 4 Model 009,Category 4,Warehouse B,SUP-014,60,26.313,19.1641,33.4619,1662,88,1750,102,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0009,Category 4 Model 009,Category 4,Warehouse B,SUP-014,90,39.4356,28.7705,50.1007,1662,88,1750,102,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0009,Category 4 Model 009,Category 4,Warehouse C,SUP-014,30,9.6487,6.9866,12.3108,319,0,319,102,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0009,Category 4 Model 009,Category 4,Warehouse C,SUP-014,60,19.2768,14.0395,24.514,319,0,319,102,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0009,Category 4 Model 009,Category 4,Warehouse C,SUP-014,90,28.8876,21.0751,36.7001,319,0,319,102,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0010,Category 2 Model 010,Category 2,Warehouse A,SUP-021,30,39.1961,28.3817,50.0105,1035,0,1035,50,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0010,Category 2 Model 010,Category 2,Warehouse A,SUP-021,60,78.334,57.0517,99.6163,1035,0,1035,50,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0010,Category 2 Model 010,Category 2,Warehouse A,SUP-021,90,117.4373,85.6771,149.1975,1035,0,1035,50,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0010,Category 2 Model 010,Category 2,Warehouse B,SUP-021,30,24.6261,17.8317,31.4205,335,41,376,50,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0010,Category 2 Model 010,Category 2,Warehouse B,SUP-021,60,49.1149,35.771,62.4587,335,41,376,50,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0010,Category 2 Model 010,Category 2,Warehouse B,SUP-021,90,73.6614,53.7401,93.5826,335,41,376,50,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0010,Category 2 Model 010,Category 2,Warehouse C,SUP-021,30,10.3794,7.5157,13.2432,333,0,333,50,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0010,Category 2 Model 010,Category 2,Warehouse C,SUP-021,60,20.7672,15.125,26.4093,333,0,333,50,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0010,Category 2 Model 010,Category 2,Warehouse C,SUP-021,90,31.1145,22.6998,39.5293,333,0,333,50,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
